Sr,Position Applied,Client Name,Job Portal,Post Link,Apply Date
1,RAG Pipeline Developer,Mistvale Robotics,LinkedIn,https://www.linkedin.com/jobs/view/3941208357,2026-08-08
2,Computer Vision Engineer,Cobalt & Fern,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e953446&from=serp,2026-08-09
3,MLOPS ENGINEER (AWS SAGEMAKER),Larkspur Data,Freelancer,https://www.freelancer.com/projects/machine-learning/mlops-engineer-(aws-sagemaker)-7300063,2026-08-10
4,Chatbot Developer - OpenAI API,Ironbridge Systems,Upwork,,2026-08-11
5,Document AI / OCR Specialist,Marlowe & Sons,LinkedIn,https://www.linkedin.com/jobs/view/3941208905,2026-08-12
6,RECOMMENDATION SYSTEM ENGINEER,Pinehaven Tech,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e958a3a&from=serp,2026-08-13
7,Speech-to-Text Integration,Solstice Retail,Freelancer,https://www.freelancer.com/projects/machine-learning/speech-to-text-integration-7300067,2026-08-14
8,Data Scraping Automation,Brambleton Media,Upwork,,2026-08-15
9,PYTHON AUTOMATION SCRIPTS,Whitcombe Legal,LinkedIn,https://www.linkedin.com/jobs/view/3941209453,2026-08-16
10,LangChain Agent Developer,Aster Bioscience,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e95e02e&from=serp,2026-08-17
11,Vector Database Consultant,Redmoor Logistics,Freelancer,https://www.freelancer.com/projects/machine-learning/vector-database-consultant-7300071,2026-08-18
12,PROMPT ENGINEER FOR SAAS PRODUCT,Northwind Digital,Upwork,,2026-08-19
13,Fraud Detection Model Developer,Ravensberg GmbH,LinkedIn,https://www.linkedin.com/jobs/view/3941210001,2026-08-20
14,Time Series Forecasting Expert,Bluepeak Studio,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e963622&from=serp,2026-08-21
15,SENIOR REACT DEVELOPER,Talloak Systems,Freelancer,https://www.freelancer.com/projects/machine-learning/senior-react-developer-7300075,2026-08-22
16,Django Backend Developer,Verdant Labs,Upwork,,2026-08-23
17,Next.js Landing Page Build,Kite & Compass,LinkedIn,https://www.linkedin.com/jobs/view/3941210549,2026-08-24
18,SHOPIFY THEME CUSTOMISATION,Orchard Retail Pvt Ltd,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e968c16&from=serp,2026-08-25
19,WordPress Site Migration,Sable Analytics,Freelancer,https://www.freelancer.com/projects/machine-learning/wordpress-site-migration-7300079,2026-08-26
20,LLM Fine-tuning Engineer,Copperline Media,Upwork,,2026-08-27
21,RAG PIPELINE DEVELOPER,Harbourstone LLC,LinkedIn,https://www.linkedin.com/jobs/view/3941211097,2026-08-01
22,Computer Vision Engineer,Fernwood Health,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e96e20a&from=serp,2026-08-02
23,MLOps Engineer (AWS SageMaker),Quillmark Inc,Freelancer,https://www.freelancer.com/projects/machine-learning/mlops-engineer-(aws-sagemaker)-7300083,2026-08-03
24,CHATBOT DEVELOPER - OPENAI API,Alderpoint AI,Upwork,,2026-08-04
25,Document AI / OCR Specialist,Mistvale Robotics,LinkedIn,https://www.linkedin.com/jobs/view/3941211645,2026-08-05
