Job Title,Company,Platform,Job URL,Applied On
Chatbot Developer - OpenAI API,Northwind Digital,Upwork,https://www.upwork.com/jobs/~01000000a1b2c5d378,2026-08-25
Document AI / OCR Specialist,Ravensberg GmbH,LinkedIn,https://www.linkedin.com/jobs/view/3941203425,2026-08-26
Time Series Forecasting Expert,Cobalt & Fern,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e912cd6&from=serp,2026-08-15
Data Scraping Automation,Verdant Labs,Upwork,https://www.upwork.com/jobs/~01000000a1b2c64c0c,2026-08-02
Data Scraping Automation,Copperline Media,Upwork,https://www.upwork.com/jobs/~01000000a1b2c3f128,2026-08-09
Speech-to-Text Integration,Sable Analytics,Freelancer,https://www.freelancer.com/projects/machine-learning/speech-to-text-integration-7300007,2026-08-08
Python Automation Scripts,Harbourstone LLC,LinkedIn,https://www.linkedin.com/jobs/view/3941201233,2026-08-10
WordPress Site Migration,Solstice Retail,Freelancer,https://www.freelancer.com/projects/machine-learning/wordpress-site-migration-7300019,2026-08-20
RAG Pipeline Developer,Ravensberg GmbH,LinkedIn,https://www.linkedin.com/jobs/view/3941200137,2026-08-02
Shopify Theme Customisation,Pinehaven Tech,Indeed,http://pk.indeed.com/viewjob?jk=000000f40e9182ca&from=serp,2026-08-19
Speech-to-Text Integration,Talloak Systems,Freelancer,https://www.freelancer.com/projects/machine-learning/speech-to-text-integration-7300027,2026-08-01
Senior React Developer,Quillmark Inc,Freelancer,https://www.freelancer.com/projects/machine-learning/senior-react-developer-7300035,2026-08-09
Computer Vision Engineer,Aster Bioscience,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e91d8be&from=serp,2026-08-23
Prompt Engineer for SaaS Product,Copperline Media,Upwork,https://www.upwork.com/jobs/~01000000a1b2c6c4a0,2026-08-06
Vector Database Consultant,Quillmark Inc,Freelancer,https://www.freelancer.com/projects/machine-learning/vector-database-consultant-7300011,2026-08-12
MLOps Engineer (AWS SageMaker),Redmoor Logistics,Freelancer,https://www.freelancer.com/projects/machine-learning/mlops-engineer-(aws-sagemaker)-7300023,2026-08-24
Time Series Forecasting Expert,Fernwood Health,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e92da9a&from=serp,2026-08-08
Computer Vision Engineer,Bluepeak Studio,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e902afa&from=serp,2026-08-03
Shopify Theme Customisation,Pinehaven Tech,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e9182ca&from=serp,2026-08-19
MLOps Engineer (AWS SageMaker),Talloak Systems,Freelancer,https://www.freelancer.com/projects/machine-learning/mlops-engineer-(aws-sagemaker)-7300003,2026-08-04
Document AI / OCR Specialist,Kite & Compass,LinkedIn,https://www.linkedin.com/jobs/view/3941200685,2026-08-06
LangChain Agent Developer,Fernwood Health,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e90d6e2&from=serp,2026-08-11
Senior React Developer,Larkspur Data,Freelancer,https://www.freelancer.com/projects/machine-learning/senior-react-developer-7300015,2026-08-16
Chatbot Developer - OpenAI API,Verdant Labs,Upwork,https://www.upwork.com/jobs/~01000000a1b2c37894,2026-08-05
Recommendation System Engineer,Orchard Retail Pvt Ltd,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e9080ee&from=serp,2026-08-07
Vector Database Consultant,Sable Analytics,Freelancer,https://www.freelancer.com/projects/machine-learning/vector-database-consultant-7300031,2026-08-05
LLM Fine-tuning Engineer,Brambleton Media,Upwork,https://www.upwork.com/jobs/~01000000a1b2c55ae4,2026-08-21
RAG Pipeline Developer,Whitcombe Legal,LinkedIn,https://www.linkedin.com/jobs/view/3941202877,2026-08-22
Django Backend Developer,Ironbridge Systems,Upwork,https://www.upwork.com/jobs/~01000000a1b2c4e250,2026-08-17
Next.js Landing Page Build,Marlowe & Sons,LinkedIn,https://www.linkedin.com/jobs/view/3941202329,2026-08-18
Recommendation System Engineer,Bluepeak Studio,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e922eb2&from=serp,2026-08-27
Prompt Engineer for SaaS Product,Alderpoint AI,Upwork,https://www.upwork.com/jobs/~01000000a1b2c469bc,2026-08-13
Fraud Detection Model Developer,Mistvale Robotics,LinkedIn,https://www.linkedin.com/jobs/view/3941201781,2026-08-14
Fraud Detection Model Developer,Harbourstone LLC,LinkedIn,https://www.linkedin.com/jobs/view/3941204521,2026-08-07
LangChain Agent Developer,Orchard Retail Pvt Ltd,Indeed,http://pk.indeed.com/viewjob?jk=000000f40e9284a6&from=serp,2026-08-04
LangChain Agent Developer,Orchard Retail Pvt Ltd,Indeed,https://pk.indeed.com/viewjob?jk=000000f40e9284a6&from=serp,2026-08-04
Document AI / OCR Specialist,Kite & Compass,LinkedIn,http://linkedin.com/jobs/view/3941200685,2026-08-06
Python Automation Scripts,Kite & Compass,LinkedIn,https://www.linkedin.com/jobs/view/3941203973,2026-08-03
